datadate,tocurd,exratd,usd_exratd,exchange_rate
01/03/2019,VND,29279.6487,1.2618,0.0000430948
01/03/2019,XOF,725.6255,1.2618,0.0017389135
01/03/2019,ZAR,18.1054,1.2618,0.0696919151
01/03/2019,ZMW,15.1540,1.2618,0.0832651445
01/03/2019,AED,4.6345,1.2618,0.27226238
01/03/2019,ARS,47.4064,1.2618,0.0266166594
01/03/2019,AUD,1.8001,1.2618,0.7009610577
01/03/2019,BDT,105.9140,1.2618,0.0119134392
01/03/2019,BGN,2.1645,1.2618,0.582952183
01/03/2019,BHD,0.4756,1.2618,2.6530698066
01/03/2019,BMD,1.2618,1.2618,1
01/03/2019,BRL,4.7342,1.2618,0.2665286638
01/03/2019,BWP,13.5968,1.2618,0.0928012474
01/03/2019,CAD,1.7027,1.2618,0.7410583191
01/03/2019,CHF,1.2473,1.2618,1.0116251102
01/03/2019,CLP,877.4557,1.2618,0.0014380213
01/03/2019,CNY,8.6717,1.2618,0.1455078012
01/03/2019,COP,4094.9869,1.2618,0.0003081329
01/03/2019,CZK,28.3922,1.2618,0.0444417833
01/03/2019,DKK,8.2605,1.2618,0.1527510441
01/03/2019,EGP,22.5993,1.2618,0.0558335878
01/03/2019,EUR,1.1062,1.2618,1.1406617248
01/03/2019,GBP,1.0000,1.2618,1.2618
01/03/2019,GEL,3.3724,1.2618,0.3741549045
01/03/2019,GHS,6.0925,1.2618,0.2071070989
01/03/2019,HKD,9.8810,1.2618,0.1276996255
01/03/2019,HRK,8.2245,1.2618,0.1534196608
01/03/2019,ZWL,425.4589,1.2618,0.0029657386
01/04/2019,NOK,10.9691,1.2712,0.1158891796
01/04/2019,NZD,1.8881,1.2712,0.6732694243
01/04/2019,OMR,0.4892,1.2712,2.5985282093
01/04/2019,PEN,4.2625,1.2712,0.298228739
01/04/2019,PGK,4.2803,1.2712,0.2969885288
01/04/2019,PHP,66.6006,1.2712,0.0190869151
01/04/2019,PKR,176.4362,1.2712,0.0072048707
01/04/2019,PLN,4.7833,1.2712,0.2657579495
01/04/2019,QAR,4.6277,1.2712,0.2746936923
01/04/2019,RON,5.1979,1.2712,0.2445603032
01/04/2019,RSD,131.8886,1.2712,0.0096384373
01/04/2019,RUB,86.1672,1.2712,0.0147527133
01/04/2019,RWF,1117.6538,1.2712,0.0011373826
01/04/2019,SAR,4.7700,1.2712,0.2664989518
01/04/2019,SDG,60.5257,1.2712,0.0210026485
01/04/2019,SEK,11.3835,1.2712,0.1116704001
01/04/2019,SGD,1.7290,1.2712,0.7352226721
01/04/2019,THB,40.7244,1.2712,0.0312147018
01/04/2019,TND,3.8626,1.2712,0.3291047481
01/04/2019,TRY,6.8097,1.2712,0.1866748902
01/04/2019,TTD,8.6237,1.2712,0.1474077252
01/04/2019,TWD,39.2027,1.2712,0.032426338
01/04/2019,HKD,9.9591,1.2712,0.127642056
01/04/2019,HRK,8.2907,1.2712,0.1533284282
01/04/2019,HUF,358.0463,1.2712,0.0035503788
01/04/2019,IDR,18168.6435,1.2712,0.0000699667
01/04/2019,ILS,4.7186,1.2712,0.2694019413
01/04/2019,INR,88.5995,1.2712,0.0143477108
01/04/2019,ISK,149.3968,1.2712,0.0085088837
01/04/2019,JMD,161.1304,1.2712,0.0078892624
01/04/2019,JOD,0.9022,1.2712,1.4090002217
01/04/2019,JPY,137.5615,1.2712,0.0092409577
01/04/2019,KES,129.6035,1.2712,0.0098083771
01/04/2019,KRW,1421.6341,1.2712,0.0008941823
01/04/2019,KWD,0.3859,1.2712,3.2941176471
01/04/2019,KZT,477.7341,1.2712,0.0026608944
01/04/2019,LBP,1918.3098,1.2712,0.0006626667
01/04/2019,LKR,232.3202,1.2712,0.0054717584
01/04/2019,MAD,12.1007,1.2712,0.1050517739
01/04/2019,MOP,10.2578,1.2712,0.1239252081
01/04/2019,MUR,44.2012,1.2712,0.0287594002
01/04/2019,MWK,927.7170,1.2712,0.0013702455
01/04/2019,MXN,24.8026,1.2712,0.0512526913
01/04/2019,MYR,5.2407,1.2712,0.2425630164
01/04/2019,NAD,17.8292,1.2712,0.0712987683
01/04/2019,NGN,463.0258,1.2712,0.0027454194
01/04/2019,TZS,2919.4157,1.2712,0.0004354296
01/04/2019,UAH,35.4798,1.2712,0.0358288378
01/04/2019,UGX,4734.3732,1.2712,0.0002685044
01/04/2019,VES,809.9011,1.2712,0.0015695744
01/04/2019,VND,29492.9001,1.2712,0.0000431019
01/04/2019,XOF,731.4112,1.2712,0.00173801
01/04/2019,ZAR,17.8301,1.2712,0.0712951694
01/04/2019,ZMW,15.2804,1.2712,0.0831915395
01/04/2019,USD,1.2712,1.2712,1
01/04/2019,ARS,47.5115,1.2712,0.0267556276
01/04/2019,AUD,1.7914,1.2712,0.7096125935
01/04/2019,BDT,106.4668,1.2712,0.0119398723
01/04/2019,BGN,2.1803,1.2712,0.5830390313
01/04/2019,BHD,0.4790,1.2712,2.6538622129
01/04/2019,BMD,1.2712,1.2712,1
01/04/2019,BRL,4.7396,1.2712,0.2682082876
01/04/2019,BWP,13.5962,1.2712,0.0934967123
01/04/2019,CAD,1.7054,1.2712,0.7453969743
01/04/2019,CHF,1.2544,1.2712,1.0133928571
01/04/2019,CLP,867.4218,1.2712,0.0014654923
01/04/2019,CNY,8.7293,1.2712,0.145624506
01/04/2019,COP,4063.7911,1.2712,0.0003128114
01/04/2019,CZK,28.5051,1.2712,0.0445955285
01/04/2019,DKK,8.3267,1.2712,0.1526655218
01/04/2019,EGP,22.7706,1.2712,0.0558263726
01/04/2019,EUR,1.1150,1.2712,1.1400896861
01/04/2019,GBP,1.0000,1.2712,1.2712
01/04/2019,GEL,3.4008,1.2712,0.3737944013
01/04/2019,GHS,6.1382,1.2712,0.207096543
01/04/2019,AED,4.6693,1.2712,0.2722463753
01/04/2019,ZWL,425.4589,1.2712,0.0029878324
01/05/2019,KES,129.6035,1.2712,0.0098083771
01/05/2019,TTD,8.6237,1.2712,0.1474077252
01/05/2019,MYR,5.2407,1.2712,0.2425630164
01/05/2019,BDT,106.4668,1.2712,0.0119398723
01/05/2019,ILS,4.7186,1.2712,0.2694019413
01/05/2019,ARS,47.5115,1.2712,0.0267556276
01/05/2019,BHD,0.4790,1.2712,2.6538622129
01/05/2019,PGK,4.2803,1.2712,0.2969885288
01/05/2019,CHF,1.2544,1.2712,1.0133928571
01/05/2019,KWD,0.3859,1.2712,3.2941176471
01/05/2019,HRK,8.2907,1.2712,0.1533284282
01/05/2019,ISK,149.3968,1.2712,0.0085088837
01/05/2019,AED,4.6693,1.2712,0.2722463753
01/05/2019,COP,4063.7911,1.2712,0.0003128114
01/05/2019,HKD,9.9591,1.2712,0.127642056
01/05/2019,RWF,1117.6538,1.2712,0.0011373826
01/05/2019,SEK,11.3835,1.2712,0.1116704001
01/05/2019,SAR,4.7700,1.2712,0.2664989518
01/05/2019,PKR,176.4362,1.2712,0.0072048707
01/05/2019,HUF,358.0463,1.2712,0.0035503788
01/05/2019,MXN,24.8026,1.2712,0.0512526913
01/05/2019,JPY,137.5615,1.2712,0.0092409577
01/05/2019,TWD,39.2027,1.2712,0.032426338
01/05/2019,LKR,232.3202,1.2712,0.0054717584
01/05/2019,EGP,22.7706,1.2712,0.0558263726
01/05/2019,QAR,4.6277,1.2712,0.2746936923
01/05/2019,CLP,867.4218,1.2712,0.0014654923
01/05/2019,MUR,44.2012,1.2712,0.0287594002
01/05/2019,SGD,1.7290,1.2712,0.7352226721
01/05/2019,XOF,731.4112,1.2712,0.00173801
01/05/2019,BGN,2.1803,1.2712,0.5830390313
01/05/2019,NAD,17.8292,1.2712,0.0712987683
01/05/2019,GHS,6.1382,1.2712,0.207096543
01/05/2019,PLN,4.7833,1.2712,0.2657579495
01/05/2019,INR,88.5995,1.2712,0.0143477108
01/05/2019,VES,809.9011,1.2712,0.0015695744
01/05/2019,BWP,13.5962,1.2712,0.0934967123
01/05/2019,NGN,463.0258,1.2712,0.0027454194
01/05/2019,BRL,4.7396,1.2712,0.2682082876
01/05/2019,TND,3.8626,1.2712,0.3291047481
01/05/2019,AUD,1.7914,1.2712,0.7096125935
01/05/2019,CZK,28.5051,1.2712,0.0445955285
01/05/2019,KRW,1421.6341,1.2712,0.0008941823
01/05/2019,UAH,35.4798,1.2712,0.0358288378
01/05/2019,JOD,0.9022,1.2712,1.4090002217
01/05/2019,RSD,131.8886,1.2712,0.0096384373
01/05/2019,CNY,8.7293,1.2712,0.145624506
01/05/2019,CAD,1.7054,1.2712,0.7453969743
01/05/2019,UGX,4734.3732,1.2712,0.0002685044
01/05/2019,MAD,12.1007,1.2712,0.1050517739
01/05/2019,EUR,1.1150,1.2712,1.1400896861
01/05/2019,ZMW,15.2804,1.2712,0.0831915395
01/05/2019,ZAR,17.8301,1.2712,0.0712951694
01/05/2019,RON,5.1979,1.2712,0.2445603032
01/05/2019,PHP,66.6006,1.2712,0.0190869151
01/05/2019,MWK,927.7170,1.2712,0.0013702455
01/05/2019,BMD,1.2712,1.2712,1
01/05/2019,NZD,1.8881,1.2712,0.6732694243
01/05/2019,TZS,2919.4157,1.2712,0.0004354296
01/05/2019,TRY,6.8097,1.2712,0.1866748902
01/05/2019,KZT,477.7341,1.2712,0.0026608944
01/05/2019,LBP,1918.3098,1.2712,0.0006626667
01/05/2019,GEL,3.4008,1.2712,0.3737944013
01/05/2019,DKK,8.3267,1.2712,0.1526655218
01/05/2019,NOK,10.9691,1.2712,0.1158891796
01/05/2019,PEN,4.2625,1.2712,0.298228739
01/05/2019,USD,1.2712,1.2712,1
01/05/2019,JMD,161.1304,1.2712,0.0078892624
01/05/2019,IDR,18168.6435,1.2712,0.0000699667
01/05/2019,SDG,60.5257,1.2712,0.0210026485
01/05/2019,THB,40.7244,1.2712,0.0312147018
01/05/2019,MOP,10.2578,1.2712,0.1239252081
01/05/2019,VND,29492.9001,1.2712,0.0000431019
01/05/2019,GBP,1.0000,1.2712,1.2712
01/05/2019,OMR,0.4892,1.2712,2.5985282093
01/05/2019,RUB,86.1672,1.2712,0.0147527133
01/05/2019,ZWL,425.4589,1.2712,0.0029878324
01/06/2019,ZWL,425.4589,1.2712,0.0029878324
01/06/2019,NAD,17.8292,1.2712,0.0712987683
01/06/2019,GHS,6.1382,1.2712,0.207096543
01/06/2019,PLN,4.7833,1.2712,0.2657579495
01/06/2019,INR,88.5995,1.2712,0.0143477108
01/06/2019,VES,809.9011,1.2712,0.0015695744
01/06/2019,BWP,13.5962,1.2712,0.0934967123
01/06/2019,NGN,463.0258,1.2712,0.0027454194
01/06/2019,BRL,4.7396,1.2712,0.2682082876
01/06/2019,TND,3.8626,1.2712,0.3291047481
01/06/2019,AUD,1.7914,1.2712,0.7096125935
01/06/2019,CZK,28.5051,1.2712,0.0445955285
01/06/2019,KRW,1421.6341,1.2712,0.0008941823
01/06/2019,UAH,35.4798,1.2712,0.0358288378
