datadate,tocurd,exratd,usd_exratd,exchange_rate
01/02/2019,MWK,918.5736,1.2587,0.0013702767
01/02/2019,MXN,24.6306,1.2587,0.0511030994
01/02/2019,MYR,5.2180,1.2587,0.2412226907
01/02/2019,NAD,18.0928,1.2587,0.0695691104
01/02/2019,NGN,458.7896,1.2587,0.0027435234
01/02/2019,NOK,10.9437,1.2587,0.1150159452
01/02/2019,NZD,1.8863,1.2587,0.6672851614
01/02/2019,OMR,0.4845,1.2587,2.5979360165
01/02/2019,PEN,4.2419,1.2587,0.2967302388
01/02/2019,PGK,4.2381,1.2587,0.2969962955
01/02/2019,PHP,66.0323,1.2587,0.0190618834
01/02/2019,PKR,174.6721,1.2587,0.0072060736
01/02/2019,PLN,4.7574,1.2587,0.2645772901
01/02/2019,QAR,4.5827,1.2587,0.274663408
01/02/2019,RON,5.1626,1.2587,0.2438112579
01/02/2019,RSD,128.9933,1.2587,0.0097578711
01/02/2019,RUB,86.5118,1.2587,0.0145494603
01/02/2019,RWF,1106.2734,1.2587,0.0011377838
01/02/2019,SAR,4.7222,1.2587,0.2665494896
01/02/2019,SDG,59.9291,1.2587,0.0210031521
01/02/2019,SEK,11.3158,1.2587,0.11123385
01/02/2019,SGD,1.7179,1.2587,0.7326968974
01/02/2019,BWP,13.6751,1.2587,0.0920432026
01/02/2019,USD,1.2587,1.2587,1
01/02/2019,ARS,47.6877,1.2587,0.0263946468
01/02/2019,AUD,1.7959,1.2587,0.7008742135
01/02/2019,BDT,105.5937,1.2587,0.0119202187
01/02/2019,BGN,2.1680,1.2587,0.5805811808
01/02/2019,BHD,0.4743,1.2587,2.6538056083
01/02/2019,BMD,1.2587,1.2587,1
01/02/2019,BRL,4.7970,1.2587,0.2623931624
01/02/2019,CAD,1.7101,1.2587,0.7360388281
01/02/2019,CHF,1.2444,1.2587,1.0114914818
01/02/2019,CLP,877.8919,1.2587,0.0014337756
01/02/2019,CNY,8.6349,1.2587,0.1457689145
01/02/2019,COP,4075.4726,1.2587,0.0003088476
01/02/2019,CZK,28.5609,1.2587,0.0440707401
01/02/2019,DKK,8.2771,1.2587,0.1520701695
01/02/2019,EGP,22.5629,1.2587,0.0557862686
01/02/2019,EUR,1.1084,1.2587,1.1356008661
01/02/2019,GBP,1.0000,1.2587,1.2587
01/02/2019,GEL,3.3642,1.2587,0.3741454135
01/02/2019,THB,40.6188,1.2587,0.0309881139
01/02/2019,TND,3.7991,1.2587,0.3313153115
01/02/2019,TRY,6.7905,1.2587,0.1853619027
01/02/2019,TTD,8.5433,1.2587,0.1473318273
01/02/2019,TWD,38.7622,1.2587,0.0324723571
01/02/2019,TZS,2890.6427,1.2587,0.0004354395
01/02/2019,UAH,35.0112,1.2587,0.0359513527
01/02/2019,UGX,4671.3491,1.2587,0.0002694511
01/02/2019,VES,801.3959,1.2587,0.0015706344
01/02/2019,VND,29195.9318,1.2587,0.0000431122
01/02/2019,ZAR,18.1105,1.2587,0.0695011181
01/02/2019,ZMW,15.0794,1.2587,0.0834714909
01/02/2019,XOF,727.1228,1.2587,0.0017310694
01/03/2019,USD,1.2618,1.2618,1
01/03/2019,HUF,355.3809,1.2618,0.0035505566
01/03/2019,IDR,18151.9942,1.2618,0.000069513
01/03/2019,ILS,4.7018,1.2618,0.2683653069
01/03/2019,INR,88.4951,1.2618,0.0142584166
01/03/2019,ISK,148.2972,1.2618,0.0085085895
01/03/2019,JMD,159.9309,1.2618,0.0078896573
01/03/2019,JOD,0.8959,1.2618,1.4084161179
01/03/2019,JPY,135.7551,1.2618,0.0092946784
01/03/2019,KES,128.9289,1.2618,0.0097867895
01/03/2019,KRW,1420.6655,1.2618,0.0008881753
01/03/2019,KWD,0.3831,1.2618,3.2936570086
01/03/2019,KZT,480.3604,1.2618,0.0026267777
01/03/2019,LBP,1902.2624,1.2618,0.0006633154
01/03/2019,LKR,230.7799,1.2618,0.0054675472
01/03/2019,MAD,12.0197,1.2618,0.1049776617
01/03/2019,MOP,10.1774,1.2618,0.1239805844
01/03/2019,MUR,43.5819,1.2618,0.0289523862
01/03/2019,MWK,920.8106,1.2618,0.0013703144
01/03/2019,MXN,24.7574,1.2618,0.0509665797
01/03/2019,MYR,5.2295,1.2618,0.2412850177
01/03/2019,NAD,18.0952,1.2618,0.0697311994
01/03/2019,NGN,459.9195,1.2618,0.0027435236
01/03/2019,NOK,10.9804,1.2618,0.1149138465
01/03/2019,NZD,1.8874,1.2618,0.6685387305
01/03/2019,OMR,0.4857,1.2618,2.5978999382
01/03/2019,PEN,4.2547,1.2618,0.2965661504
01/03/2019,PGK,4.2484,1.2618,0.2970059316
01/03/2019,PHP,66.3571,1.2618,0.0190152975
01/03/2019,PKR,175.2867,1.2618,0.0071984925
01/03/2019,PLN,4.7496,1.2618,0.265664477
01/03/2019,QAR,4.5939,1.2618,0.2746685823
01/03/2019,RON,5.1594,1.2618,0.2445633213
01/03/2019,RSD,130.9793,1.2618,0.0096335833
01/03/2019,RUB,86.7089,1.2618,0.0145521394
01/03/2019,RWF,1109.1820,1.2618,0.0011375951
01/03/2019,SAR,4.7328,1.2618,0.2666075051
01/03/2019,SDG,60.0751,1.2618,0.0210037104
01/03/2019,SEK,11.3619,1.2618,0.1110553693
01/03/2019,SGD,1.7204,1.2618,0.7334340851
01/03/2019,THB,40.6357,1.2618,0.0310515138
01/03/2019,TND,3.7812,1.2618,0.3337035862
01/03/2019,TRY,6.9200,1.2618,0.1823410405
01/03/2019,TTD,8.5386,1.2618,0.147775982
01/03/2019,TWD,38.9916,1.2618,0.0323608162
01/03/2019,TZS,2897.6821,1.2618,0.0004354515
01/03/2019,UAH,34.7565,1.2618,0.0363040007
01/03/2019,UGX,4686.5103,1.2618,0.0002692408
01/03/2019,VES,803.9235,1.2618,0.0015695523
